id,type,resultTime,usedProcedure,madeBySensor,observedProperty,hasFeatureOfInterest,hasSimpleResult,hasResult_value,hasResult_unit
Observation29,sosa:Observation,2013-10-02T10:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation30,sosa:Observation,2013-10-02T11:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.603,DEG_C
Observation31,sosa:Observation,2013-10-02T11:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.743,PERCENT
Observation32,sosa:Observation,2013-10-02T11:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation33,sosa:Observation,2013-10-02T11:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.484,DEG_C
Observation34,sosa:Observation,2013-10-02T11:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.693,PERCENT
Observation35,sosa:Observation,2013-10-02T11:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation36,sosa:Observation,2013-10-02T12:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.436,DEG_C
Observation37,sosa:Observation,2013-10-02T12:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.167,PERCENT
Observation38,sosa:Observation,2013-10-02T12:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,27.6,LUX
Observation39,sosa:Observation,2013-10-02T12:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.508,DEG_C
Observation40,sosa:Observation,2013-10-02T12:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.299,PERCENT
Observation41,sosa:Observation,2013-10-02T12:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,19.7,LUX
Observation42,sosa:Observation,2013-10-02T13:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.532,DEG_C
Observation43,sosa:Observation,2013-10-02T13:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.032,PERCENT
Observation44,sosa:Observation,2013-10-02T13:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation45,sosa:Observation,2013-10-02T13:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.460,DEG_C
Observation46,sosa:Observation,2013-10-02T13:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.960,PERCENT
Observation47,sosa:Observation,2013-10-02T13:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,19.7,LUX
Observation48,sosa:Observation,2013-10-02T14:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.413,DEG_C
Observation49,sosa:Observation,2013-10-02T14:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.862,PERCENT
Observation50,sosa:Observation,2013-10-02T14:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,19.7,LUX
Observation51,sosa:Observation,2013-10-02T14:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.389,DEG_C
Observation52,sosa:Observation,2013-10-02T14:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.858,PERCENT
Observation53,sosa:Observation,2013-10-02T14:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,19.7,LUX
Observation54,sosa:Observation,2013-10-02T15:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.413,DEG_C
Observation55,sosa:Observation,2013-10-02T15:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.832,PERCENT
Observation56,sosa:Observation,2013-10-02T15:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,35.5,LUX
Observation57,sosa:Observation,2013-10-02T15:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.532,DEG_C
Observation58,sosa:Observation,2013-10-02T15:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.460,PERCENT
Observation59,sosa:Observation,2013-10-02T15:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation60,sosa:Observation,2013-10-02T16:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.460,DEG_C
Observation61,sosa:Observation,2013-10-02T16:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.569,PERCENT
Observation62,sosa:Observation,2013-10-02T16:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation63,sosa:Observation,2013-10-02T16:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.413,DEG_C
Observation64,sosa:Observation,2013-10-02T16:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.682,PERCENT
Observation65,sosa:Observation,2013-10-02T16:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,19.7,LUX
Observation66,sosa:Observation,2013-10-02T17:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.413,DEG_C
Observation67,sosa:Observation,2013-10-02T17:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.742,PERCENT
Observation68,sosa:Observation,2013-10-02T17:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation69,sosa:Observation,2013-10-02T17:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.460,DEG_C
Observation70,sosa:Observation,2013-10-02T17:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.810,PERCENT
Observation71,sosa:Observation,2013-10-02T17:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation72,sosa:Observation,2013-10-02T18:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.413,DEG_C
Observation73,sosa:Observation,2013-10-02T18:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.892,PERCENT
Observation74,sosa:Observation,2013-10-02T18:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation75,sosa:Observation,2013-10-02T18:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.341,DEG_C
Observation76,sosa:Observation,2013-10-02T18:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.971,PERCENT
Observation77,sosa:Observation,2013-10-02T18:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation78,sosa:Observation,2013-10-02T19:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.318,DEG_C
Observation79,sosa:Observation,2013-10-02T19:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.057,PERCENT
Observation80,sosa:Observation,2013-10-02T19:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation81,sosa:Observation,2013-10-02T19:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.294,DEG_C
Observation82,sosa:Observation,2013-10-02T19:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.083,PERCENT
Observation83,sosa:Observation,2013-10-02T19:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation84,sosa:Observation,2013-10-02T20:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.341,DEG_C
Observation85,sosa:Observation,2013-10-02T20:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.941,PERCENT
Observation86,sosa:Observation,2013-10-02T20:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation87,sosa:Observation,2013-10-02T20:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.270,DEG_C
Observation88,sosa:Observation,2013-10-02T20:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.049,PERCENT
Observation89,sosa:Observation,2013-10-02T20:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation90,sosa:Observation,2013-10-02T21:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.222,DEG_C
Observation91,sosa:Observation,2013-10-02T21:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.132,PERCENT
Observation92,sosa:Observation,2013-10-02T21:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation93,sosa:Observation,2013-10-02T21:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.199,DEG_C
Observation94,sosa:Observation,2013-10-02T21:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.038,PERCENT
Observation95,sosa:Observation,2013-10-02T21:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation96,sosa:Observation,2013-10-02T22:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.222,DEG_C
Observation97,sosa:Observation,2013-10-02T22:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.102,PERCENT
Observation98,sosa:Observation,2013-10-02T22:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation99,sosa:Observation,2013-10-02T22:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.199,DEG_C
Observation100,sosa:Observation,2013-10-02T22:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.038,PERCENT
Observation101,sosa:Observation,2013-10-02T22:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation102,sosa:Observation,2013-10-02T23:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.175,DEG_C
Observation103,sosa:Observation,2013-10-02T23:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.454,PERCENT
Observation104,sosa:Observation,2013-10-02T23:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation105,sosa:Observation,2013-10-02T23:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.341,DEG_C
Observation106,sosa:Observation,2013-10-02T23:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.242,PERCENT
Observation107,sosa:Observation,2013-10-02T23:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation108,sosa:Observation,2013-10-03T00:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.318,DEG_C
Observation109,sosa:Observation,2013-10-03T00:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.027,PERCENT
Observation110,sosa:Observation,2013-10-03T00:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation111,sosa:Observation,2013-10-03T00:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.318,DEG_C
Observation112,sosa:Observation,2013-10-03T00:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.057,PERCENT
Observation113,sosa:Observation,2013-10-03T00:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation114,sosa:Observation,2013-10-03T01:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.222,DEG_C
Observation115,sosa:Observation,2013-10-03T01:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.132,PERCENT
Observation116,sosa:Observation,2013-10-03T01:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation117,sosa:Observation,2013-10-03T01:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.199,DEG_C
Observation118,sosa:Observation,2013-10-03T01:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.128,PERCENT
Observation119,sosa:Observation,2013-10-03T01:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation120,sosa:Observation,2013-10-03T02:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.127,DEG_C
Observation121,sosa:Observation,2013-10-03T02:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.056,PERCENT
Observation122,sosa:Observation,2013-10-03T02:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation123,sosa:Observation,2013-10-03T02:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.127,DEG_C
Observation124,sosa:Observation,2013-10-03T02:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.176,PERCENT
Observation125,sosa:Observation,2013-10-03T02:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation126,sosa:Observation,2013-10-03T03:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.151,DEG_C
Observation127,sosa:Observation,2013-10-03T03:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.060,PERCENT
Observation128,sosa:Observation,2013-10-03T03:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation129,sosa:Observation,2013-10-03T03:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.103,DEG_C
Observation130,sosa:Observation,2013-10-03T03:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.112,PERCENT
Observation131,sosa:Observation,2013-10-03T03:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation132,sosa:Observation,2013-10-03T04:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.056,DEG_C
Observation133,sosa:Observation,2013-10-03T04:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.044,PERCENT
Observation134,sosa:Observation,2013-10-03T04:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation135,sosa:Observation,2013-10-03T04:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.032,DEG_C
Observation136,sosa:Observation,2013-10-03T04:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.130,PERCENT
Observation137,sosa:Observation,2013-10-03T04:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation138,sosa:Observation,2013-10-03T05:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.032,DEG_C
Observation139,sosa:Observation,2013-10-03T05:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.160,PERCENT
Observation140,sosa:Observation,2013-10-03T05:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation141,sosa:Observation,2013-10-03T05:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.056,DEG_C
Observation142,sosa:Observation,2013-10-03T05:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.134,PERCENT
Observation143,sosa:Observation,2013-10-03T05:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation144,sosa:Observation,2013-10-03T06:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,18.985,DEG_C
Observation145,sosa:Observation,2013-10-03T06:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.123,PERCENT
Observation146,sosa:Observation,2013-10-03T06:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation147,sosa:Observation,2013-10-03T06:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,18.961,DEG_C
Observation148,sosa:Observation,2013-10-03T06:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.269,PERCENT
Observation149,sosa:Observation,2013-10-03T06:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation150,sosa:Observation,2013-10-03T07:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,18.937,DEG_C
Observation151,sosa:Observation,2013-10-03T07:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.415,PERCENT
Observation152,sosa:Observation,2013-10-03T07:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation153,sosa:Observation,2013-10-03T07:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.103,DEG_C
Observation154,sosa:Observation,2013-10-03T07:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.382,PERCENT
Observation155,sosa:Observation,2013-10-03T07:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation156,sosa:Observation,2013-10-03T08:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.032,DEG_C
Observation157,sosa:Observation,2013-10-03T08:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.521,PERCENT
Observation158,sosa:Observation,2013-10-03T08:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation159,sosa:Observation,2013-10-03T08:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,18.961,DEG_C
Observation160,sosa:Observation,2013-10-03T08:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.689,PERCENT
Observation161,sosa:Observation,2013-10-03T08:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation162,sosa:Observation,2013-10-03T09:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,18.937,DEG_C
Observation163,sosa:Observation,2013-10-03T09:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.685,PERCENT
Observation164,sosa:Observation,2013-10-03T09:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation165,sosa:Observation,2013-10-03T09:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,18.937,DEG_C
Observation166,sosa:Observation,2013-10-03T09:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.715,PERCENT
Observation167,sosa:Observation,2013-10-03T09:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation168,sosa:Observation,2013-10-03T10:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.032,DEG_C
Observation169,sosa:Observation,2013-10-03T10:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.491,PERCENT
Observation170,sosa:Observation,2013-10-03T10:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,19.7,LUX
Observation171,sosa:Observation,2013-10-03T10:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,18.985,DEG_C
Observation172,sosa:Observation,2013-10-03T10:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.543,PERCENT
Observation173,sosa:Observation,2013-10-03T10:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation174,sosa:Observation,2013-10-03T11:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,18.985,DEG_C
Observation175,sosa:Observation,2013-10-03T11:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.453,PERCENT
Observation176,sosa:Observation,2013-10-03T11:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,27.6,LUX
Observation177,sosa:Observation,2013-10-03T11:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.008,DEG_C
Observation178,sosa:Observation,2013-10-03T11:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.247,PERCENT
Observation179,sosa:Observation,2013-10-03T11:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,19.7,LUX
Observation180,sosa:Observation,2013-10-03T12:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.080,DEG_C
Observation181,sosa:Observation,2013-10-03T12:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.348,PERCENT
Observation182,sosa:Observation,2013-10-03T12:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,27.6,LUX
Observation183,sosa:Observation,2013-10-03T12:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.080,DEG_C
Observation184,sosa:Observation,2013-10-03T12:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.258,PERCENT
Observation185,sosa:Observation,2013-10-03T12:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,19.7,LUX
Observation186,sosa:Observation,2013-10-03T13:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.080,DEG_C
Observation187,sosa:Observation,2013-10-03T13:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.288,PERCENT
