No.,Variable Name,Description,Option Number,Values,Notes,,,,,,,,,,
39,xpus_a,Midpoints of xpus,,,,,,,,,,,,,
40,xpusy_a,last monthly unsecured debt payment to income ratio,-9,Not applicable,,,,,,,,,,,
41,xpusdy_a,last monthly unsecured debt payment to disposable,,,Available 2007 onwards ,,,,,,,,,,
,,income ratio,,,,,,,,,,,,,
42,usn,Number of unsecured debt instruments held,,,,,,,,,,,,,
43,usa,Unsecured debt instrument: hire purchase,,,,,,,,,,,,,
44,usb,Unsecured debt instrument: personal loan,,,,,,,,,,,,,
45,usc,Unsecured debt instrument: credit card,,,,,,,,,,,,,
46,usd,Unsecured debt instrument: mail order purchase,0,No,,,,,,,,,,,
47,ude,Unsecured debt instrument: DSS social fund loan,1,Yes,,,,,,,,,,,
48,usg,Unsecured debt instrument: something else,,,,,,,,,,,,,
49,ush,Unsecured debt instrument: overdraft,,,,,,,,,,,,,
50,usi,Unsecured debt instrument: student loan,,,,,,,,,,,,,
51,usj,Unsecured debt instrument: store card,,,,,,,,,,,,,
52,tenure,Housing tenure,1,Outright owner,,,,,,,,,,,
,,,2,Mortgagor,,,,,,,,,,,
,,,3,Local authority rented,,,,,,,,,,,
,,,4,Housing association rented,,,,,,,,,,,
,,,5,Private rented,,,,,,,,,,,
,,,8,Other,,,,,,,,,,,
53,tenure_grp2,Housing tenure group,1,Owner,,,,,,,,,,,
,,,2,Renter,,,,,,,,,,,
54,tenure_grp3,Housing tenure group,1,Outright owner,,,,,,,,,,,
,,,2,Mortgagor,,,,,,,,,,,
,,,3,Renter,,,,,,,,,,,
55,huresp,Are you mainly or jointly responsible for the financial decision making in the household?,0,No,,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
56,hsval,About how much would you expect to get from your main home if you sold it today?,1,<£49000,,,,,,,,,,,
,,,2,"£50,000-£74,999",,,,,,,,,,,
,,(only asked to homeowners with mortgage and if person is mainly or jointly responsible for financial ,3,"£75,000-£99,999",,,,,,,,,,,
,,decision making),4,"£100,000-£124,999",,,,,,,,,,,
,,,5,"£125,000-£149,999",,,,,,,,,,,
,,,6,"£150,000-£174,999",,,,,,,,,,,
,,,7,"£175,000-£199,999",,,,,,,,,,,
,,,8,"£200,000-£224,999",,,,,,,,,,,
,,,9,"£225,000-£249,999",,,,,,,,,,,
,,,10,"£250,000-£274,999",,,,,,,,,,,
,,,11,"£275,000-£299,999",,,,,,,,,,,
,,,12,"£300,000-£349,999",,,,,,,,,,,
,,,13,"£350,000-£399,999",,,,,,,,,,,
,,,14,"£400,000-£449,999",,,,,,,,,,,
,,,15,"£450,000-£499,999",,,,,,,,,,,
,,,16,"£500,000-£599,999",,,,,,,,,,,
,,,17,"£600,000-£699,999",,,,,,,,,,,
,,,18,"£700,000-£799,999",,,,,,,,,,,
,,,19,"£800,000-£899,999",,,,,,,,,,,
,,,20,"£900,000-£999,999",,,,,,,,,,,
,,,21,"£1,000,000-£1,999,999",,,,,,,,,,,
,,,22,">=£2,000,000",,,,,,,,,,,
57,hsval_a,Midpoints of hsval,,,,,,,,,,,,,
58,reshsfall,"Over the past year, the price of an average home has fallen by about 10%. How would your household spending on items such as clothes, leisure and groceries be affected if house prices were to fall by another 10% in the next year. Would you say..",1,I would probably cut back spending,Available in 2008 only,,,,,,,,,,
,,,2,I would probably increase spending,,,,,,,,,,,
,,,3,My household spending would not be affected,,,,,,,,,,,
59,mghave,Is there a mortgage or loan secured on your home?,0,No,,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
60,intmg,What type of interest rate is being paid on the mortgage or loan?,1,Fixed,Available 2007 onwards,,,,,,,,,,
,,,2,Capped,,,,,,,,,,,
,,,3,Discounted,,,,,,,,,,,
,,,4,Base rate tracker,,,,,,,,,,,
,,,5,Variable,,,,,,,,,,,
,,,6,Other (specify),,,,,,,,,,,
61,mg1tot,Roughly how much is left to pay on your current mortgage(s) and secured loan(s) on your home?,1,"<£10,000",,,,,,,,,,,
,,,2,"£10,000-£19,999",,,,,,,,,,,
,,(only asked to adults responsible for financial decision making),3,"£20,000-£29,999",,,,,,,,,,,
,,,4,"£30,000-£39,999",,,,,,,,,,,
,,,5,"£40,000-£49,999",,,,,,,,,,,
,,,6,"£50,000-£59,999",,,,,,,,,,,
,,,7,"£60,000-£69,999",,,,,,,,,,,
,,,8,"£70,000-£79,999",,,,,,,,,,,
,,,9,"£80,000-£89,999",,,,,,,,,,,
,,,10,"£90,000-£99,999",,,,,,,,,,,
,,,11,"£100,000-£109,999",,,,,,,,,,,
,,,12,"£110,000-£129,999",,,,,,,,,,,
,,,13,"£130,000-£149,999",,,,,,,,,,,
,,,14,"£150,000-£169,999",,,,,,,,,,,
,,,15,"£170,000-£189,999",,,,,,,,,,,
,,,16,"£190,000-£209,999",,,,,,,,,,,
,,,17,"£210,000-£229,999",,,,,,,,,,,
,,,18,"£230,000-£249,999",,,,,,,,,,,
,,,19,"£250,000-£274,999",,,,,,,,,,,
,,,20,"£275,000-£299,999",,,,,,,,,,,
,,,21,"£300,000-£399,999",,,,,,,,,,,
,,,22,"£400,000-£499,999",,,,,,,,,,,
,,,23,"£500,000-£749,999",,,,,,,,,,,
,,,24,"£750,000-£999,999",,,,,,,,,,,
,,,25,">=£1,000,000",,,,,,,,,,,
62,mg1tot_a,Midpoints of mg1tot,,,,,,,,,,,,,
64,mg1toty_a,Secured debt to income ratio,,,,,,,,,,,,,
65,mg1totdy_a,Secured debt to disposable income ratio,,,Available 2007 onwards,,,,,,,,,,
66,nequity,"If you were able to sell your home today, do you think it would be worth more than what you owe on your mortgage and any other secured loans?",0,No,2008 and 2009 only,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
67,xpmg,How much was your last monthly instalment on the mortgage(s) or loan(s) related to your home?,1,<£100,,,,,,,,,,,
,,,2,£100-£149,,,,,,,,,,,
,,(only asked to adults responsible for financial decision making),3,£150-£199,,,,,,,,,,,
,,,4,£200-£249,,,,,,,,,,,
,,,5,£250-£299,,,,,,,,,,,
,,,6,£300-£349,,,,,,,,,,,
,,,7,£350-£399,,,,,,,,,,,
,,,8,£400-£449,,,,,,,,,,,
,,,9,£450-£499,,,,,,,,,,,
,,,10,£500-£549,,,,,,,,,,,
,,,11,£550-£599,,,,,,,,,,,
,,,12,£600-£649,,,,,,,,,,,
,,,13,£650-£699,,,,,,,,,,,
,,,14,£700-£749,,,,,,,,,,,
,,,15,£750-£799,,,,,,,,,,,
,,,16,£800-£849,,,,,,,,,,,
,,,17,£850-£899,,,,,,,,,,,
,,,18,£900-£949,,,,,,,,,,,
,,,19,£950-£999,,,,,,,,,,,
,,,20,"£1,000-£1,249",,,,,,,,,,,
,,,21,"£1,250-£1,499",,,,,,,,,,,
,,,22,"£1,500-£1,749",,,,,,,,,,,
,,,23,"£1,750-£1,999",,,,,,,,,,,
,,,24,">=£2,000",,,,,,,,,,,
68,xpmg_a,Midpoints of xpmg,,,,,,,,,,,,,
69,xpmgy_a,last monthly secured debt payment to income ratio,,,,,,,,,,,,,
70,xpmgdy_a,last monthly secured debt payment to disposable,,,Available 2007 onwards,,,,,,,,,,
73,fixmg,Did you have a fixed rate mortgage that expired in ,0,No,Asked in 2007 and 2008,,,,,,,,,,
,,the last 12 months?,1,Yes,,,,,,,,,,,
74,fixmg09,Did you have a mortgage deal that ended/came up for refinancing during the past 12 months?,0,No,Asked in 2009,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
75,fixpmg_a,Fallen off fixed - By how much would you say your monthly mortgage repayments increased?,1,0.0,Asked in 2007 and 2008,,,,,,,,,,
,,(only asked if fixmg = 1),2,<=£9,,,,,,,,,,,
,,,3,£10-£19,,,,,,,,,,,
,,,4,£19-£29,,,,,,,,,,,
,,,5,£30-£39,,,,,,,,,,,
,,,6,£40-£49,,,,,,,,,,,
,,,7,£50-£59,,,,,,,,,,,
,,,8,£60-£69,,,,,,,,,,,
,,,9,£70-£79,,,,,,,,,,,
,,,10,£80-£89,,,,,,,,,,,
,,,11,£90-£99,,,,,,,,,,,
,,,12,£100-£119,,,,,,,,,,,
,,,13,£120-£139,,,,,,,,,,,
,,,14,£140-£159,,,,,,,,,,,
,,,15,£160-£179,,,,,,,,,,,
,,,16,£180-£199,,,,,,,,,,,
,,,17,>=£200,,,,,,,,,,,
76,fnxpmg_a,Not fixed - By how much would you say your monthly mortgage repayments increased?,,As for fixpmg_a,Asked in 2007 and 2008,,,,,,,,,,
77,fixpmg09,Fallen off deal - By how much would you say your monthly mortgage repayments changed when you refinanced your mortgage?,1,Went down by £500 per month or more,Asked in 2009 only,,,,,,,,,,
,,,2,Went down by £400 to £499 per month,,,,,,,,,,,
,,,3,Went down by £300 to £399 per month,,,,,,,,,,,
,,,4,Went down by £250 to £299 per month,,,,,,,,,,,
,,,5,Went down by £200 to £249 per month,,,,,,,,,,,
,,,6,Went down by £175 to £199 per month,,,,,,,,,,,
,,,7,Went down by £150 to £174 per month,,,,,,,,,,,
,,,8,Went down by £125 to £149 per month,,,,,,,,,,,
,,,9,Went down by £100 to £124 per month,,,,,,,,,,,
,,,10,Went down by £75 to £99 per month,,,,,,,,,,,
,,,11,Went down by £50 to £74 per month,,,,,,,,,,,
,,(only asked if fixmg09 = 1),12,Went down by £25 to £49 per month,,,,,,,,,,,
,,,13,Went down by up to £24 per month,,,,,,,,,,,
,,,14,More or less the same ,,,,,,,,,,,
,,,15,Went up by up to £24 per month,,,,,,,,,,,
,,,16,Went up by £25 to £49 per month,,,,,,,,,,,
,,,17,Went up by £50 to £74 per month,,,,,,,,,,,
,,,18,Went up by £75 to £99 per month,,,,,,,,,,,
,,,19,Went up by £100 to £124 per month,,,,,,,,,,,
,,,20,Went up by £125 to £149 per month,,,,,,,,,,,
,,,21,Went up by £150 to £174 per month,,,,,,,,,,,
,,,22,Went up by £175 to £199 per month,,,,,,,,,,,
,,,23,Went up by £200 to £249 per month,,,,,,,,,,,
,,,24,Went up by £250 to £299 per month,,,,,,,,,,,
,,,25,Went up by £300 to £399 per month,,,,,,,,,,,
,,,26,Went up by £400 to £499 per month,,,,,,,,,,,
,,,27,Went up by £500 per month or more,,,,,,,,,,,
78,fnxpmg09,By how much would you say your monthly mortgage repayments have changed over the past 12 months?,,As for fixpmg09,Asked in 2009 only,,,,,,,,,,
,,(only asked if fixmg09 = 0),,,,,,,,,,,,,
79,changepmg ,By how much would you say your monthly mortgage repayments changed over the last two years?,1,Went down by £500 per month or more,Asked in 2010 only,,,,,,,,,,
,,,2,Went down by £400 to £499 per month,,,,,,,,,,,
,,,3,Went down by £300 to £399 per month,,,,,,,,,,,
,,,4,Went down by £250 to £299 per month,,,,,,,,,,,
,,,5,Went down by £200 to £249 per month,,,,,,,,,,,
,,,6,Went down by £175 to £199 per month,,,,,,,,,,,
,,,7,Went down by £150 to £174 per month,,,,,,,,,,,
,,,8,Went down by £125 to £149 per month,,,,,,,,,,,
,,,9,Went down by £100 to £124 per month,,,,,,,,,,,
,,,10,Went down by £75 to £99 per month,,,,,,,,,,,
,,,11,Went down by £50 to £74 per month,,,,,,,,,,,
,,,12,Went down by £25 to £49 per month,,,,,,,,,,,
,,,13,Went down by up to £24 per month,,,,,,,,,,,
,,,14,More or less the same ,,,,,,,,,,,
,,,15,Went up by up to £24 per month,,,,,,,,,,,
,,,16,Went up by £25 to £49 per month,,,,,,,,,,,
,,,17,Went up by £50 to £74 per month,,,,,,,,,,,
,,,18,Went up by £75 to £99 per month,,,,,,,,,,,
,,,19,Went up by £100 to £124 per month,,,,,,,,,,,
,,,20,Went up by £125 to £149 per month,,,,,,,,,,,
,,,21,Went up by £150 to £174 per month,,,,,,,,,,,
,,,22,Went up by £175 to £199 per month,,,,,,,,,,,
,,,23,Went up by £200 to £249 per month,,,,,,,,,,,
,,,24,Went up by £250 to £299 per month,,,,,,,,,,,
,,,25,Went up by £300 to £399 per month,,,,,,,,,,,
,,,26,Went up by £400 to £499 per month,,,,,,,,,,,
,,,27,Went up by £500 per month or more,,,,,,,,,,,
,,,28,Not applicable as I have not had a mortgage for more than two years ,,,,,,,,,,,
80,changepmg_a,Midpoints of changepmg,,,Asked in 2010 only,,,,,,,,,,
,,How are you using the extra monay that you are saving on your mortgage repayments?,,,Asked in 2009 only,,,,,,,,,,
,,,0,No,,,,,,,,,,,
,,(only asked if mortgage repayments have fallen),1,Yes,,,,,,,,,,,
81,fxuse1,Paying into savings/investments,,,,,,,,,,,,,
82,fxuse2,Paying off debt,,,,,,,,,,,,,
83,fxuse3,"Spending on additional everyday items e.g. food, clothes",,,,,,,,,,,,,
84,fxuse4,Spending on luxury items,,,,,,,,,,,,,
85,fxuse5,"Nothing in particular, it just goes on a range of things",,,,,,,,,,,,,
86,fxuse6,Other (Specify),,,,,,,,,,,,,
,,In what ways have you used this extra money that you have saved on your mortgage repayments? Please select no more than three of the following. MAX 3 ANSWERS,,,Asked in 2010 only,,,,,,,,,,
,,(only asked to those who answered 'Went down' above),,,,,,,,,,,,,
87,pmguse1  ,Paid into savings / investments,0,No,,,,,,,,,,,
88,pmguse2  ,"Paid off some/all unsecured debt e.g. credit card, unsecured loans",1,Yes,,,,,,,,,,,
89,pmguse3  ,Made overpayments into my mortgage,,,,,,,,,,,,,
90,pmguse4   ,Paid off some/all of my other secured debt e.g. loans secured on my property,,,,,,,,,,,,,
91,pmguse5,"Spent on additional everyday items e.g. food, clothes",,,,,,,,,,,,,
92,pmguse6,"Spent on luxury items e.g. treats for children, nice restaurants etc",,,,,,,,,,,,,
93,pmguse7,"Nothing in particular, it just went on a range of things",,,,,,,,,,,,,
94,pmguse8,Other (SPECIFY),,,,,,,,,,,,,
95,xphsdf,"In the past twelve months, would you say you have had any difficulties paying for your accomodation?",0,No,,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
,,,,,,,,,,,,,,,
96,xphpdf,To what extent is the repayment of these loans and the interest a financial burden on your household?,1,A heavy burden,,,,,,,,,,,
,,,2,Somewhat of a burden,,,,,,,,,,,
,,,3,Not a burden,,,,,,,,,,,
97,billscc,Which one of the following statements best describes how well your household is keeping up with your bills and/or credit commitments at the moment?,1,keeping up without much difficulty,Available from 2008 onwards,,,,,,,,,,
,,,2,"keeping up, struggle from time to time",,,,,,,,,,,
,,,3,"keeping up, constant struggle",,,,,,,,,,,
,,,4,falling behind on some,,,,,,,,,,,
,,,5,"have financial problems, fallen behind with many",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,What are the main reasons for the difficulty you have in keeping up with bills and credit commitments? Please select no more than three of the following. MAX 3 ANSWERS,,,Not available before 2006,,,,,,,,,,
98,xphdr1,lack of cash flow that has/will be resolved,,,Options xphdr1-xphdr13 were offered between 2006 and 2010,,,,,,,,,,
99,xphdr2,overspending,0,No,Option xphdr14 was offered between 2007 and 2010,,,,,,,,,,
100,xphdr3,loss of income through reduction.cesssation of overtime,1,Yes,Option xphdr15 was offered in 2007 and 2010,,,,,,,,,,
101,xphdr4,had a child,,,,,,,,,,,,,
102,xphdr5,redundancy,,,,,,,,,,,,,
103,xphdr6,unemployment,,,,,,,,,,,,,
104,xphdr7,illness,,,,,,,,,,,,,
105,xphdr8,divorce or separation,,,,,,,,,,,,,
106,xphdr9,credit card/loan offers too tempting,,,,,,,,,,,,,
107,xphdr10,children's school/University fees,,,,,,,,,,,,,
108,xphdr11,Higher than expected household bills,,,,,,,,,,,,,
109,xphdr12,Debt legacy from being a student,,,,,,,,,,,,,
111,xphdr14,Higher than expected interest rates,,,,,,,,,,,,,
112,xphdr15,Loss / reduction in benefits,,,,,,,,,,,,,
110,xphdr13,Other (specify),,,,,,,,,,,,,
,,"What actions, if any, are you taking to resolve the difficult you have in keeping up with bill and and / or credit commitments?  Please select no more than three of the following. Max 3 answers.",,,Available from 2009 onwards,,,,,,,,,,
,,,,,Options xphdd1-xphdd9 were offered between 2009 and 2011,,,,,,,,,,
,,,,,Options xphdd10 and xphdd11 were offered in 2010 and 2011,,,,,,,,,,
113,xphdd1,Taking out another loan,,,Options xphdd12-xphdd14 were offered in 2010,,,,,,,,,,
114,xphdd2,Taking out another mortgage on your house,,,,,,,,,,,,,
115,xphdd3,Selling your house,,,,,,,,,,,,,
116,xphdd4,Declaring yourself insolvent i.e. bankruptcy or IVA,,,,,,,,,,,,,
117,xphdd5,Entering into another debt solution such as a debt management plan,,,,,,,,,,,,,
118,xphdd6,Cutting back on spending,,,,,,,,,,,,,
119,xphdd7,Using cash in savings / other assets,,,,,,,,,,,,,
122,xphdd10,Working longer hours / taking a second or better paid job,,,,,,,,,,,,,
123,xphdd11,Getting financial help from family / relatives,,,,,,,,,,,,,
124,xphdd12,Contacing the company/being reassessed,,,,,,,,,,,,,
125,xphdd13,Getting them paid off as quickly as possible/pay as much as possible,,,,,,,,,,,,,
126,xphdd14,Visit the Citizen's Advice Bureau/debt crisis help/IVA,,,,,,,,,,,,,
120,xphdd8,Other (specify),,,,,,,,,,,,,
